iteration,alpha,cost
32,0.1,2194800431.452255
33,0.1,2174643227.872602
34,0.1,2157574532.646316
35,0.1,2143070886.721047
36,0.1,2130702964.9561486
37,0.1,2120118111.4935267
38,0.1,2111026167.936665
39,0.1,2103187967.8047757
40,0.1,2096405990.7371314
41,0.1,2090516766.790118
42,0.1,2085384699.3959155
43,0.1,2080897038.7516391
44,0.1,2076959788.4875038
45,0.1,2073494369.7613983
46,0.1,2070434900.3288796
47,0.1,2067725973.1604218
48,0.1,2065320841.0460691
49,0.1,2063179931.3294733
50,0.1,2061269629.2461305
1,0.3,32717886169.54327
2,0.3,17125983502.029963
3,0.3,9586804547.637568
4,0.3,5887062669.062826
5,0.3,4046936937.869139
6,0.3,3118212254.469867
7,0.3,2640899133.327087
8,0.3,2389738226.712215
9,0.3,2253504329.5050817
10,0.3,2176789165.5439835
11,0.3,2131682522.0113127
12,0.3,2103914142.11495
13,0.3,2086037788.2102084
14,0.3,2074061172.9830132
15,0.3,2065768693.2847703
16,0.3,2059879144.8444571
17,0.3,2055617363.1378927
18,0.3,2052492473.5559945
19,0.3,2050180283.0933077
20,0.3,2048458902.9165497
21,0.3,2047172116.7981367
22,0.3,2046207598.8940024
23,0.3,2045483352.7017894
24,0.3,2044938890.460776
25,0.3,2044529271.8679166
26,0.3,2044220948.0687344
27,0.3,2043988794.7695863
28,0.3,2043813957.460022
29,0.3,2043682267.4314458
30,0.3,2043583067.7216742
31,0.3,2043508338.0437005
32,0.3,2043452040.141403
33,0.3,2043409626.8497915
34,0.3,2043377673.3317952
35,0.3,2043353599.7954254
36,0.3,2043335462.8544862
37,0.3,2043321798.4693704
38,0.3,2043311503.681796
39,0.3,2043303747.5444145
40,0.3,2043297904.0299792
41,0.3,2043293501.4922047
42,0.3,2043290184.5929353
43,0.3,2043287685.619618
44,0.3,2043285802.8765845
45,0.3,2043284384.4053257
46,0.3,2043283315.7194471
47,0.3,2043282510.564198
48,0.3,2043281903.9547048
49,0.3,2043281446.9309378
50,0.3,2043281102.6060789
